window,train_start,train_end,test_start,test_end,selected_params,train_metric,test_sharpe,test_total_return,test_max_drawdown,test_trades
1,2005-01-03 00:00:00+00:00,2008-01-03 00:00:00+00:00,2008-07-07 00:00:00+00:00,2009-07-06 00:00:00+00:00,{'lookback_days': 42},1.205790702875054,-1.352323923312648,-0.18838981099260776,-0.20439423451642358,39
2,2006-01-03 00:00:00+00:00,2009-01-02 00:00:00+00:00,2009-07-07 00:00:00+00:00,2010-07-06 00:00:00+00:00,{'lookback_days': 126},0.5434900142050418,0.8525767197447944,0.12546066939323097,-0.09462383676938035,51
3,2007-01-04 00:00:00+00:00,2010-01-04 00:00:00+00:00,2010-07-07 00:00:00+00:00,2011-07-05 00:00:00+00:00,{'lookback_days': 126},0.7095862787966718,1.2197373099205921,0.1210309454802041,-0.060446866250519204,53
4,2008-01-04 00:00:00+00:00,2011-01-03 00:00:00+00:00,2011-07-06 00:00:00+00:00,2012-07-03 00:00:00+00:00,{'lookback_days': 63},0.7746803123700972,0.7421022050744317,0.07237133989390743,-0.09545930472619601,40
5,2009-01-05 00:00:00+00:00,2012-01-03 00:00:00+00:00,2012-07-05 00:00:00+00:00,2013-07-08 00:00:00+00:00,{'lookback_days': 63},1.5198254160413007,0.8520982021890029,0.07445976793054898,-0.07661676654850524,42
6,2010-01-05 00:00:00+00:00,2013-01-04 00:00:00+00:00,2013-07-09 00:00:00+00:00,2014-07-08 00:00:00+00:00,{'lookback_days': 63},1.147157314255709,0.44543141486049515,0.03230875952310508,-0.05309731373344739,52
7,2011-01-04 00:00:00+00:00,2014-01-06 00:00:00+00:00,2014-07-09 00:00:00+00:00,2015-07-08 00:00:00+00:00,{'lookback_days': 63},1.0534053201741405,0.39339549787103983,0.026241260918650866,-0.04298065846384436,51
8,2012-01-04 00:00:00+00:00,2015-01-06 00:00:00+00:00,2015-07-09 00:00:00+00:00,2016-07-07 00:00:00+00:00,{'lookback_days': 126},1.2948640493240893,0.2722598598886468,0.0194135938828357,-0.08682070268923259,39
9,2013-01-07 00:00:00+00:00,2016-01-06 00:00:00+00:00,2016-07-08 00:00:00+00:00,2017-07-07 00:00:00+00:00,{'lookback_days': 126},0.8416002944380717,0.7022125953939595,0.04757686758592361,-0.04881244881837021,50
10,2014-01-07 00:00:00+00:00,2017-01-05 00:00:00+00:00,2017-07-10 00:00:00+00:00,2018-07-09 00:00:00+00:00,{'lookback_days': 126},0.8900848181265613,1.0510075767041387,0.10356432281097505,-0.08091472381024745,55
11,2015-01-07 00:00:00+00:00,2018-01-05 00:00:00+00:00,2018-07-10 00:00:00+00:00,2019-07-10 00:00:00+00:00,{'lookback_days': 126},0.8945824866312437,-0.20526462327205033,-0.021144494840862338,-0.11951320928003317,40
12,2016-01-07 00:00:00+00:00,2019-01-08 00:00:00+00:00,2019-07-11 00:00:00+00:00,2020-07-09 00:00:00+00:00,{'lookback_days': 126},0.896401296184233,0.3382629408765911,0.041713634427198665,-0.21241451012043788,52
13,2017-01-06 00:00:00+00:00,2020-01-08 00:00:00+00:00,2020-07-10 00:00:00+00:00,2021-07-09 00:00:00+00:00,{'lookback_days': 126},0.873085740439861,1.6653354240341518,0.24023743518872598,-0.07149417980419248,47
14,2018-01-08 00:00:00+00:00,2021-01-07 00:00:00+00:00,2021-07-12 00:00:00+00:00,2022-07-11 00:00:00+00:00,{'lookback_days': 63},0.7287405357032233,-0.6201618579198737,-0.054238723711271586,-0.1356706841453359,34
15,2019-01-09 00:00:00+00:00,2022-01-06 00:00:00+00:00,2022-07-12 00:00:00+00:00,2023-07-12 00:00:00+00:00,{'lookback_days': 63},1.041962697082602,0.42604929732457514,0.03841203482294486,-0.10451660251598993,43
16,2020-01-09 00:00:00+00:00,2023-01-09 00:00:00+00:00,2023-07-13 00:00:00+00:00,2024-07-12 00:00:00+00:00,{'lookback_days': 63},0.5051025811092721,1.0195969787964243,0.09035886871994414,-0.06397434634886823,44
